Split,Order,SampleId,FeatureConfig,Channels,Height,Width,MaskPositivePixels,FeatureMin,FeatureMax,FeatureMean,FeatureStd,FeatureFinite,WindSource,WindU,WindV,WindSpeed10m_Metadata,WindDirCos10m_Metadata,WindDirSin10m_Metadata
Train,0,de030b00-e6b8-4984-8a38-e58575d4588c,ConfigC,12,200,200,1638,-0.7313077449798584,8.0,2.592390298843384,3.4549121856689453,True,ECMWF/ERA5_LAND/HOURLY,3.6805267333984375,-3.94635009765625,5.396290960329332,0.6820473689073371,-0.7313077436631888
Train,1,eed29b21-7a33-4cfd-8b93-20e5a2ed69ad,ConfigC,12,200,200,830,-0.9670716524124146,8.0,2.331173896789551,3.392246723175049,True,NASA/GEOS-FP,-2.839526414871216,0.7472743391990662,2.936210005905024,-0.9670716474942143,0.25450294195349726
Train,2,501f2901-74f0-4285-9c33-fa534af753b7,ConfigC,12,200,200,576,-0.8160638809204102,8.0,2.598632574081421,3.486341714859009,True,ECMWF/ERA5_LAND/HOURLY,-4.62811279296875,3.27777099609375,5.671261828488825,-0.8160638878734465,0.5779613985845108
Train,3,befa48b5-3652-4518-8e45-045c27e6bedc,ConfigC,12,200,200,242,-0.9999976754188538,8.0,2.4193718433380127,3.449606418609619,True,NASA/GEOS-FP,-4.26269006729126,-0.00869784876704216,4.262698941088467,-0.9999976836752894,-0.0020404553187530227
Train,4,bf262b0f-fc7c-4290-9091-b127e6bb1ed0,ConfigC,12,200,200,1447,-0.2862792909145355,8.0,2.9196553230285645,3.6113617420196533,True,ECMWF/ERA5_LAND/HOURLY,7.873016357421875,2.6024675369262695,8.291997578689196,0.9494715034872143,0.3138528681872578
Train,5,0d9ba038-d82e-4431-b540-f82351a281aa,ConfigC,12,200,200,412,-0.688823401927948,8.0,2.6451778411865234,3.519629716873169,True,NASA/GEOS-FP,-4.252006530761719,4.474881172180176,6.172853557535034,-0.6888233784111131,0.7249289822838627
Train,6,865daa43-f09f-4a22-9d56-f544836b0395,ConfigC,12,200,200,1025,-0.2807556986808777,8.0,2.4129202365875244,3.2661445140838623,True,ECMWF/ERA5_LAND/HOURLY,1.3311309814453125,1.1726312637329102,1.7739711864760945,0.7503674474680105,0.6610200952824872
Train,7,d3557c64-53c3-46b1-a3b8-da71d5b373aa,ConfigC,12,200,200,10827,-0.7124205827713013,8.0,2.2036523818969727,3.4222633838653564,True,ECMWF/ERA5_LAND/HOURLY,-1.3650054931640625,-1.3857574462890625,1.945138477413279,-0.7017519869471258,-0.712420606532492
Train,8,72984544-cbd6-4c69-9bec-920a8ad8bba5,ConfigC,12,200,200,2017,-0.5853736400604248,8.0,2.342731475830078,3.3134751319885254,True,ECMWF/ERA5_LAND/HOURLY,-0.609832763671875,1.600107192993164,1.7123781792338222,-0.35613184922321667,0.9344350903104928
Train,9,eee0b10f-9da8-4aff-8703-6f12e8fd1707,ConfigC,12,200,200,391,-0.9823215007781982,8.0,2.1326959133148193,3.43013334274292,True,ECMWF/ERA5_LAND/HOURLY,-0.9678955078125,-0.1844472885131836,0.9853134101814929,-0.9823214781099321,-0.18719637773206704
Train,10,1845062b-0479-4842-8cca-988342836d5f,ConfigC,12,200,200,806,-0.5741183161735535,8.0,2.400965452194214,3.335723638534546,True,ECMWF/ERA5_LAND/HOURLY,-1.624481201171875,2.3167343139648438,2.8295224074855767,-0.5741183115411833,0.8187719203297148
Train,11,b51168ff-14e6-4e42-a51f-d993c936c4ae,ConfigC,12,200,200,1075,-0.8554498553276062,8.0,2.6143033504486084,3.5244855880737305,True,ECMWF/ERA5_LAND/HOURLY,-5.1580352783203125,3.122650146484375,6.029616229059341,-0.8554498705923658,0.5178853031391395
Train,12,42fea04f-677e-4edc-bccc-9dbd051b9229,ConfigC,12,200,200,2685,-8.0,8.0,3.9751484394073486,4.239223003387451,True,ECMWF/ERA5_LAND/HOURLY,3.664520263671875,2.2154998779296875,4.282189681923052,0.8557583106098879,0.5173753441859221
Train,13,a0abe46e-31a4-4674-948f-3fbb3dff0cb2,ConfigC,12,200,200,681,-0.21450021862983704,8.0,2.616238832473755,3.336224317550659,True,NASA/GEOS-FP,0.9820572137832642,4.501504898071289,4.607383500263849,0.213148525747531,0.9770195862345553
